#,Genre,Date,Ville,Adversaire,score
878,LdN,10/10/2021,Milan*,Espagne,2-1
877,LdN,07/10/2021,Turin*,Belgique,3-2
876,qCM,07/09/2021,Lyon,Finlande,2-0
875,qCM,04/09/2021,Kiev,Ukraine,1-1
874,qCM,01/09/2021,Strasbourg,Bosnie,1-1
873,Euro 1/8,28/06/2021,Bucarest*,Suisse,3-3 (4-5 tab)
872,Euro T1,23/06/2021,Budapest*,Portugal,2-2
871,Euro T1,19/06/2021,Budapest*,Hongrie,1-1
870,Euro T1,15/06/2021,Munich*,Allemagne,1-0
869,Amical,08/06/2021,Saint-Denis,Bulgarie,3-0
868,Amical,02/06/2021,Nice,Galles,3-0
867,qCM,31/03/2021,Sarajevo,Bosnie,1-0
866,qCM,28/03/2021,Noursoultan,Kazakhstan,2-0
865,qCM,24/03/2021,Saint-Denis,Ukraine,1-1
864,qLN,17/11/2020,Saint-Denis,Suède,4-2
863,qLN,14/11/2020,Lisbonne,Portugal,1-0
862,Amical,11/11/2020,Saint-Denis,Finlande,0-2
861,qLN,14/10/2020,Zagreb,Croatie,2-1
860,qLN,11/10/2020,Saint-Denis,Portugal,0-0
859,Amical,07/10/2020,Saint-Denis,Ukraine,7-1
858,qLN,08/09/2020,Saint-Denis,Croatie,4-2
857,qLN,05/09/2020,Solna,Suède,1-0
856,qEuro,17/11/2019,Tirana,Albanie,2-0
855,qEuro,14/11/2019,Saint-Denis,Moldavie,2-1
854,qEuro,14/10/2019,Saint-Denis,Turquie,1-1
853,qEuro,11/10/2019,Reykjavik,Islande,1-0
852,qEuro,10/09/2019,Saint-Denis,Andorre,3-0
851,qEuro,07/09/2019,Saint-Denis,Albanie,4-1
850,qEuro,11/06/2019,Andorre-la-Vieille,Andorre,4-0
849,qEuro,08/06/2019,Konya,Turquie,0-2
848,Amical,02/06/2019,Nantes,Bolivie,2-0
847,qEuro,25/03/2019,Saint-Denis,Islande,4-0
846,qEuro,22/03/2019,Chisinau,Moldavie,4-1
845,Amical,20/11/2018,Saint-Denis,Uruguay,1-0
844,qLN,16/11/2018,Rotterdam,Pays-Bas,0-2
843,qLN,16/10/2018,Saint-Denis,Allemagne,2-1
842,Amical,11/10/2018,Guingamp,Islande,2-2
841,qLN,09/09/2018,Saint-Denis,Pays-Bas,2-1
840,qLN,06/09/2018,Munich,Allemagne,0-0
839,CM fin,15/07/2018,Moscou*,Croatie,4-2
838,CM 1/2,10/07/2018,Saint-Petersbourg *,Belgique,1-0
837,CM 1/4,06/07/2018,Nijni-Novgorod *,Uruguay,2-0
836,CM 1/8,30/06/2018,Kazan*,Argentine,4-3
835,CM T1,26/06/2018,Moscou*,Danemark,0-0
834,CM T1,21/06/2018,Iekaterinbourg*,Pérou,1-0
833,CM T1,16/06/2018,Kazan*,Australie,2-1
832,Amical,09/06/2018,Lyon,Etats-Unis,1-1
831,Amical,01/06/2018,Nice,Italie,3-1
830,Amical,28/05/2018,Saint-Denis,Rep. d’Irlande,2-0
829,Amical,27/03/2018,Saint-Petersbourg,Russie,3-1
828,Amical,23/03/2018,Saint-Denis,Colombie,2-3
827,Amical,14/11/2017,Cologne,Allemagne,2-2
826,Amical,10/11/2017,Saint-Denis,Galles,2-0
825,qCM,10/10/2017,Saint-Denis,Biélorussie,2-1
